insee_code,zip_code,name,latitude,longitude,department_insee_code
68240,68960,illtal,47.563811568,7.299977348,68
68241,68127,oberentzen,47.937318204,7.381703937,68
68242,68127,oberhergheim,47.969249324,7.400056684,68
68243,68480,oberlarg,47.451679829,7.232454191,68
68244,68420,obermorschwihr,48.023296818,7.294637667,68
68245,68130,obermorschwiller,47.641848716,7.316250274,68
68246,68600,obersaasheim,47.986039938,7.555835179,68
68247,68830,oderen,47.928246826,6.993806603,68
68248,68480,oltingue,47.489523074,7.4000346,68
68249,68370,orbey,48.115205809,7.135469135,68
68250,68500,orschwihr,47.93815084,7.228933682,68
68251,68570,osenbach,47.992681768,7.216712308,68
68252,68150,ostheim,48.156508005,7.372674975,68
68253,68490,ottmarsheim,47.786307942,7.493011022,68
68254,68490,petit landau,47.734713019,7.508959337,68
68255,68250,pfaffenheim,47.999468488,7.240190206,68
68256,68120,pfastatt,47.769150188,7.295063058,68
68257,68480,pfetterhouse,47.50691357,7.168049061,68
68258,68840,pulversheim,47.841754874,7.299086032,68
68259,68480,raedersdorf,47.471042078,7.353815758,68
68260,68190,raedersheim,47.885092645,7.27783941,68
68261,68800,rammersmatt,47.79409356,7.058337885,68
68262,68470,ranspach,47.905303282,7.021829953,68
68263,68730,ranspach le bas,47.587470108,7.44516173,68
68264,68220,ranspach le haut,47.579840204,7.41937266,68
68265,68510,rantzwiller,47.649098232,7.371828944,68
68266,68890,reguisheim,47.891637323,7.37070672,68
68267,68950,reiningue,47.755302204,7.220124519,68
68268,68210,retzwiller,47.629555657,7.087790576,68
68269,68150,ribeauville,48.206357203,7.286578024,68
68270,68120,richwiller,47.784495221,7.281931156,68
68271,68400,riedisheim,47.740070377,7.365883784,68
68273,68640,riespach,47.536102204,7.289047433,68
68274,68500,rimbach pres guebwiller,47.904292021,7.15311779,68
68275,68290,rimbach pres masevaux,47.834223611,6.9419505180000005,68
68276,68500,rimbachzell,47.897798043,7.173889568,68
68277,68340,riquewihr,48.178797861,7.273178866,68
68278,68170,rixheim,47.749806471,7.407162713,68
68279,68800,roderen,47.77881677,7.086268869,68
68280,68590,rodern,48.236782655,7.261129349,68
68281,68740,roggenhouse,47.884807589,7.474530105,68
68282,68210,romagny,47.611081017,7.066970752,68
68283,68660,rombach le franc,48.293427131,7.243061446,68
68284,68480,roppentzwiller,47.537784807,7.329149431,68
68285,68590,rorschwihr,48.218667884,7.366826296,68
68286,68128,rosenau,47.638802952,7.541616305,68
68287,68250,rouffach,47.968453997,7.305078347,68
68288,68560,ruederbach,47.554840933,7.257951323,68
68289,68270,ruelisheim,47.822854033,7.352297558,68
68290,68740,rustenhart,47.941199518,7.475984176,68
68291,68740,rumersheim le haut,47.853560428,7.517114698,68
68292,68550,st amarin,47.888126891,7.041691661,68
